Time_min,Frequency_Hz,Impedance_Magnitude
0,500,866.3230279128387
5,500,866.0605680662424
10,500,864.1272380270466
15,500,860.6972709802391
20,500,868.2294791775543
25,500,864.5776750396548
30,500,876.4729834139666
35,500,869.6236029618668
40,500,865.8285852693898
45,500,865.0059005854494
50,500,863.6206394991344
55,500,860.9807188322156
60,500,865.3602814757223
65,500,858.8253859818012
70,500,866.8104765895714
75,500,880.9276302511993
80,500,858.7124436236608
85,500,864.3244395261955
90,500,868.8226399685457
95,500,859.8067112980584
100,500,860.801169656874
105,500,870.1187434664415
110,500,858.7046873895858
115,500,862.5123484123816
120,500,858.0611239355437
125,500,871.5367893640691
130,500,858.7741641797461
135,500,870.4446523736767
140,500,866.6835605836418
145,500,860.8763433746387
150,500,874.3006840591481
155,500,875.1573606125585
160,500,866.1613727220761
165,500,866.4738635309492
170,500,866.3508582405482
175,500,870.3534673439198
180,500,869.6621876047242
185,500,864.9330786721622
190,500,867.2067237540961
195,500,858.0472430603967
200,500,862.4295612149971
205,500,861.4234647955109
210,500,872.2272382021923
215,500,874.146218768961
220,500,874.1701703152702
225,500,872.9149396009954
230,500,864.7963857106171
235,500,864.8959580412925
240,500,866.2393478243512
245,500,863.9549529840372
250,500,865.1800138525136
255,500,854.247073274918
260,500,868.7904616239995
265,500,870.4739225587383
270,500,873.3919939302425
275,500,865.1572357041424
280,500,874.4875337387672
285,500,869.2280494716739
290,500,865.0372579831454
295,500,871.3126049256372
300,500,872.0537416405995
305,500,872.9317142696977
310,500,872.0456999739009
315,500,868.2673841603605
320,500,862.9886493344261
325,500,865.8815334260576
330,500,876.8120394599509
335,500,864.6204656227693
340,500,865.7016814761107
345,500,875.3594952468802
350,500,869.9526849770351
355,500,866.5901795202985
360,500,871.4861769570624
365,500,868.5510205202914
370,500,862.0741925984277
375,500,874.9787944893193
380,500,866.5766976586037
385,500,873.2890781814529
390,500,868.784712892117
395,500,871.2533046762982
400,500,875.8289454293816
405,500,861.8388744365523
410,500,870.8349845242969
415,500,867.3422774382723
420,500,871.573409086677
425,500,871.0941558112228
430,500,868.757317225118
435,500,878.9898702128467
440,500,868.0767547159612
445,500,874.9269037536736
450,500,869.7699770636618
455,500,879.9757417430385
460,500,870.7665862350227
465,500,867.3902012121456
470,500,868.3684421960237
475,500,868.1202879103508
480,500,877.5371589852224
485,500,875.9370561998126
490,500,871.6364586430539
495,500,871.2352908705523
500,500,864.2141244011494
505,500,876.7664640514702
510,500,878.8584322408916
515,500,872.485158876667
520,500,882.5292751925134
525,500,862.1049693005016
530,500,866.9998852343634
535,500,869.8298688767496
540,500,880.261746004689
545,500,870.355158636074
550,500,859.8270452768712
555,500,879.1286666889242
560,500,871.315897611675
565,500,869.4753355819311
570,500,873.3579369723903
575,500,876.6017745945594
580,500,870.1126156315354
585,500,871.3421995180603
590,500,864.3845667891571
595,500,873.1033922098031
600,500,864.6583395577486
605,500,870.7383609885396
610,500,870.7633617354081
615,500,869.6271652813306
620,500,874.7065566313215
625,500,867.7154220127914
630,500,875.8035188225557
635,500,872.089473507953
640,500,879.2702733754637
645,500,874.093042964316
650,500,875.0084289862884
655,500,871.0889536623625
660,500,876.0160368703952
665,500,875.740405624523
670,500,875.1115915165058
675,500,874.4407986985788
680,500,867.7079443015189
685,500,870.2710269410238
690,500,866.5063581519981
695,500,873.0440890338836
700,500,877.1280604547028
705,500,877.3481514416258
710,500,870.2778744929087
715,500,860.0962883555975
720,500,873.4880089001512
725,500,876.6260432922743
730,500,867.6307199812611
735,500,884.5667539946056
740,500,876.4222892395239
745,500,870.0095373918965
750,500,874.5630817433951
755,500,872.7194685000072
760,500,867.7961575978005
765,500,864.4510738602546
770,500,872.7623030541928
775,500,879.1796463466127
780,500,882.3321326247692
785,500,876.7774992461185
790,500,871.5276481677462
795,500,871.6558700493143
800,500,872.8525448393239
805,500,875.3953460532558
810,500,875.9318317066286
815,500,873.2855938624139
820,500,876.8518574760378
825,500,873.7429276415968
830,500,876.4205600179782
835,500,874.9649747241558
840,500,869.4784476196452
845,500,883.5082088852429
850,500,876.1158724547405
855,500,869.6985740280226
860,500,871.5584595255518
865,500,881.6555069055225
870,500,885.1489715291896
875,500,869.7403926630453
880,500,882.2501483134575
885,500,869.2833602907579
890,500,872.725149876984
895,500,879.0653651414083
900,500,882.834240759237
905,500,874.7909822883956
910,500,876.1638322903867
915,500,867.6079126638527
920,500,871.4022251849568
925,500,866.0012397499777
930,500,883.8740584159365
935,500,875.9317267969091
940,500,881.2529707277895
945,500,881.6359485712288
950,500,882.8920572767737
955,500,871.6098014626778
960,500,874.7105862162035
965,500,876.9731374035258
970,500,871.7569403120167
975,500,879.105554959777
980,500,887.9598924867189
985,500,866.1997953861307
990,500,884.6171442239811
995,500,885.0146309450625
1000,500,871.9745907191426
1005,500,880.2714922506175
1010,500,889.8320822559429
1015,500,880.4081834087275
1020,500,884.612395548238
1025,500,882.2514583173472
1030,500,889.5701614650218
1035,500,875.2662322482873
1040,500,866.8344009436408
1045,500,875.803122819672
1050,500,872.749231766337
1055,500,871.9934592308324
1060,500,874.8849235640379
1065,500,875.973898880163
1070,500,887.0441535556757
1075,500,870.2493145132883
1080,500,876.9872852535427
1085,500,880.6693775844292
1090,500,872.0860700386066
1095,500,881.8049522841443
1100,500,881.6708364106158
1105,500,881.1709404735368
1110,500,880.517263862385
1115,500,882.8832444199043
1120,500,888.0493431053545
1125,500,878.3987324886724
1130,500,882.2831018432819
1135,500,879.5006804512116
1140,500,872.5344594250578
1145,500,880.8682062951392
1150,500,880.8216923048705
1155,500,879.9207757559187
1160,500,874.6007815819446
